GEOID,NAME,ADI,Financial_Strength,Economic_Hardship_and_Inequality,Educational_Attainment
01001,"Autauga County, Alabama",88.79349114927454,103.98522849239434,86.2274476072713,112.85399285410664
01003,"Baldwin County, Alabama",84.6310687815027,111.0618900359814,84.59754810136562,113.35999286591934
01005,"Barbour County, Alabama",129.19650105808628,80.73381953447311,128.08769919037763,76.01705177047916
01007,"Bibb County, Alabama",120.61786847261595,83.63605283459177,116.41365446086051,83.75390952151659
01009,"Blount County, Alabama",106.75199454425767,89.27927220965942,96.5835215589239,85.37758879449662
01011,"Bullock County, Alabama",143.38179139959843,71.82650729376363,140.1805678304284,58.35260324209813
01013,"Butler County, Alabama",118.79770270903893,80.30470971615564,118.18903760366516,103.24179296272506
01015,"Calhoun County, Alabama",110.82874820290559,89.47453627597116,110.3186705617232,98.99171737876443
01017,"Chambers County, Alabama",115.04916108500836,84.4342723822096,108.40513832841621,81.60041491894462
01019,"Cherokee County, Alabama",105.2054513522465,89.87449722742474,95.47407462426703,92.08714340981345
01021,"Chilton County, Alabama",106.74465590489869,86.81502642178832,96.02244803203993,89.1954072514839
01023,"Choctaw County, Alabama",119.86079159426396,78.3464285990988,112.48506506983094,92.02097291425366
01025,"Clarke County, Alabama",121.06149478138188,87.29331413239738,128.18318412290083,97.76605848312904
01027,"Clay County, Alabama",112.30337811081668,84.2525262260706,102.74863766156463,87.40810667289493
01029,"Cleburne County, Alabama",102.29725719180078,91.17550622354527,93.42992492423943,95.79424239624349
01031,"Coffee County, Alabama",105.2534165946881,96.63300351286263,104.93360663425415,96.9249410380216
01033,"Colbert County, Alabama",104.54975258341696,92.69247967165501,102.74271774971123,104.44379139655773
01035,"Conecuh County, Alabama",122.3833401640007,80.85226014449948,124.78240748507847,104.24683049360563
01037,"Coosa County, Alabama",108.21615075973948,79.45456528429096,92.41356019038669,87.34064909883449
01039,"Covington County, Alabama",110.58939566261357,86.86733577036102,106.63219107486904,99.4875281303964
01041,"Crenshaw County, Alabama",114.32599315617762,82.14696532429392,105.74022799120803,88.14756836920301
01043,"Cullman County, Alabama",102.10842609509942,92.40168238597693,94.0278456686402,95.13450722529214
01045,"Dale County, Alabama",114.282713401269,87.22649729485298,115.048231083297,97.60042462258949
01047,"Dallas County, Alabama",133.212665760942,80.76755864982577,147.14026298582905,102.97717963922616
01049,"DeKalb County, Alabama",117.23450573714234,81.74296689109018,101.86672082617395,67.13584477749838
01051,"Elmore County, Alabama",91.81304012483582,105.04202739283846,91.57574056255638,107.48684215718889
01053,"Escambia County, Alabama",124.55679800673663,80.75124937519446,124.81972880280401,92.94076846547425
01055,"Etowah County, Alabama",110.25973399096847,88.62055754455565,106.59937537586606,95.82204919054216
01057,"Fayette County, Alabama",114.4593535634325,84.4030937761889,111.33026855626548,95.67654686680277
01059,"Franklin County, Alabama",116.05626712108314,81.56236986664675,105.34273833733232,80.77671959113536
01061,"Geneva County, Alabama",111.93835475091211,85.01575579439,103.31100849838818,89.48640390029297
01063,"Greene County, Alabama",141.54303505813587,68.9376744421732,145.2153349327995,93.24805653814339
01065,"Hale County, Alabama",118.08463096363113,89.47146053885649,117.6695650529218,83.03056065726402
01067,"Henry County, Alabama",105.99628337033127,90.77559723699909,97.97929658963145,90.956162661184
01069,"Houston County, Alabama",107.43177457922882,94.4271673850337,109.97916550938255,101.85377806275176
01071,"Jackson County, Alabama",112.24941940437384,85.97754934335876,104.33910094182167,87.92502271188008
01073,"Jefferson County, Alabama",96.42546375415309,109.63860645296923,106.67399670093232,111.05262220971954
